ProbeSet,Gene Symbol,Chr,Mb
10342925,Affy_10342925,Un,1.0
10342926,Affy_10342926,Un,1.0
10342927,Affy_10342927,Un,1.0
10342928,Affy_10342928,Un,1.0
10342929,Affy_10342929,Un,1.0
10342930,Affy_10342930,Un,1.0
10342931,Affy_10342931,Un,1.0
10342932,Affy_10342932,Un,1.0
10342933,Affy_10342933,Un,1.0
10342934,Affy_10342934,Un,1.0
10342935,Affy_10342935,Un,1.0
10342936,Affy_10342936,Un,1.0
10342937,Affy_10342937,Un,1.0
10342938,Affy_10342938,Un,1.0
10342939,Affy_10342939,Un,1.0
10342940,Affy_10342940,Un,1.0
10342941,Affy_10342941,Un,1.0
10342942,Affy_10342942,Un,1.0
10342943,Affy_10342943,Un,1.0
10342944,Affy_10342944,Un,1.0
10342945,Affy_10342945,Un,1.0
10342946,Affy_10342946,Un,1.0
10342947,Affy_10342947,Un,1.0
10342948,Affy_10342948,Un,1.0
10342949,Affy_10342949,Un,1.0
10342950,Affy_10342950,Un,1.0
10342951,Affy_10342951,Un,1.0
10342952,Affy_10342952,Un,1.0
10342953,Affy_10342953,Un,1.0
10342954,Affy_10342954,Un,1.0
10342955,Affy_10342955,Un,1.0
10342956,Affy_10342956,Un,1.0
10342957,Affy_10342957,Un,1.0
10342958,Affy_10342958,Un,1.0
10342959,Affy_10342959,Un,1.0
10342960,Affy_10342960,Un,1.0
10342961,Ube2g1,11,72.440139
10342962,Affy_10342962,Un,1.0
10342963,Affy_10342963,Un,1.0
10342964,Affy_10342964,Un,1.0
10342965,Affy_10342965,Un,1.0
10342966,Affy_10342966,Un,1.0
10342967,Affy_10342967,Un,1.0
10342968,Affy_10342968,Un,1.0
10342969,Affy_10342969,Un,1.0
10342970,Affy_10342970,Un,1.0
10342971,Affy_10342971,Un,1.0
10342972,Affy_10342972,Un,1.0
10342973,Affy_10342973,Un,1.0
10342974,Affy_10342974,Un,1.0
10342975,Affy_10342975,Un,1.0
10342976,Affy_10342976,Un,1.0
10342977,Affy_10342977,Un,1.0
10342978,Affy_10342978,Un,1.0
10342979,Affy_10342979,Un,1.0
10342980,Affy_10342980,Un,1.0
10342981,Affy_10342981,Un,1.0
10342982,Affy_10342982,Un,1.0
10342983,Affy_10342983,Un,1.0
10342984,Affy_10342984,Un,1.0
10342985,Affy_10342985,Un,1.0
10342986,Dhrs1,14,56.36377
10342987,Affy_10342987,Un,1.0
10342988,Affy_10342988,Un,1.0
10342989,Affy_10342989,Un,1.0
10342990,Affy_10342990,Un,1.0
10342991,Affy_10342991,Un,1.0
10342992,Affy_10342992,Un,1.0
10342993,Affy_10342993,Un,1.0
10342994,Affy_10342994,Un,1.0
10342995,Affy_10342995,Un,1.0
10342996,Affy_10342996,Un,1.0
10342997,Affy_10342997,Un,1.0
10342998,Affy_10342998,Un,1.0
10342999,Affy_10342999,Un,1.0
10343000,Affy_10343000,Un,1.0
10343001,Affy_10343001,Un,1.0
10343002,Affy_10343002,Un,1.0
10343003,Affy_10343003,Un,1.0
10343004,Affy_10343004,Un,1.0
10343005,Affy_10343005,Un,1.0
10343006,Affy_10343006,Un,1.0
10343007,Affy_10343007,Un,1.0
10343008,Affy_10343008,Un,1.0
10343009,Affy_10343009,Un,1.0
10343010,Affy_10343010,Un,1.0
10343011,Affy_10343011,Un,1.0
10343012,Affy_10343012,Un,1.0
10343013,Affy_10343013,Un,1.0
10343014,Affy_10343014,Un,1.0
10343015,Affy_10343015,Un,1.0
10343016,Affy_10343016,Un,1.0
10343017,Affy_10343017,Un,1.0
10343018,Affy_10343018,Un,1.0
10343019,Affy_10343019,Un,1.0
10343020,Affy_10343020,Un,1.0
10343021,Affy_10343021,Un,1.0
10343022,Affy_10343022,Un,1.0
10343023,Affy_10343023,Un,1.0
10343024,Affy_10343024,Un,1.0
10343025,Affy_10343025,Un,1.0
10343026,Affy_10343026,Un,1.0
10343027,Affy_10343027,Un,1.0
10343028,Affy_10343028,Un,1.0
10343029,Affy_10343029,Un,1.0
10343030,Affy_10343030,Un,1.0
10343031,Affy_10343031,Un,1.0
10343032,Affy_10343032,Un,1.0
10343033,Affy_10343033,Un,1.0
10343034,Affy_10343034,Un,1.0
10343035,Cic,7,26.078242
10343036,Affy_10343036,Un,1.0
10343037,Affy_10343037,Un,1.0
10343038,Affy_10343038,Un,1.0
10343039,Affy_10343039,Un,1.0
10343040,Affy_10343040,Un,1.0
10343041,Affy_10343041,Un,1.0
10343042,Affy_10343042,Un,1.0
10343043,Affy_10343043,Un,1.0
10343044,Affy_10343044,Un,1.0
10343045,Affy_10343045,Un,1.0
10343046,Affy_10343046,Un,1.0
10343047,Affy_10343047,Un,1.0
10343048,Affy_10343048,Un,1.0
10343049,Affy_10343049,Un,1.0
10343050,Affy_10343050,Un,1.0
10343051,Affy_10343051,Un,1.0
10343052,Affy_10343052,Un,1.0
10343053,Affy_10343053,Un,1.0
10343054,Affy_10343054,Un,1.0
10343055,Pabpn1,14,55.517138
10343056,Affy_10343056,Un,1.0
10343057,Affy_10343057,Un,1.0
10343058,Affy_10343058,Un,1.0
10343059,Affy_10343059,Un,1.0
10343060,Affy_10343060,Un,1.0
10343061,Affy_10343061,Un,1.0
10343062,Affy_10343062,Un,1.0
10343063,Affy_10343063,Un,1.0
10343064,Affy_10343064,Un,1.0
10343065,Hnrpul2,19,8.903867
10343066,Affy_10343066,Un,1.0
10343067,Affy_10343067,Un,1.0
10343068,Affy_10343068,Un,1.0
10343069,Affy_10343069,Un,1.0
10343070,Affy_10343070,Un,1.0
10343071,Affy_10343071,Un,1.0
10343072,Affy_10343072,Un,1.0
10343073,Affy_10343073,Un,1.0
10343074,Affy_10343074,Un,1.0
10343075,Affy_10343075,Un,1.0
10343076,Affy_10343076,Un,1.0
10343077,Affy_10343077,Un,1.0
10343078,Affy_10343078,Un,1.0
10343079,Affy_10343079,Un,1.0
10343080,Affy_10343080,Un,1.0
10343081,Affy_10343081,Un,1.0
10343082,Affy_10343082,Un,1.0
10343083,Affy_10343083,Un,1.0
10343084,Affy_10343084,Un,1.0
10343085,Affy_10343085,Un,1.0
10343086,Affy_10343086,Un,1.0
10343087,Affy_10343087,Un,1.0
10343088,Affy_10343088,Un,1.0
10343089,Affy_10343089,Un,1.0
10343090,Affy_10343090,Un,1.0
10343091,Affy_10343091,Un,1.0
10343092,Affy_10343092,Un,1.0
10343093,Affy_10343093,Un,1.0
10343094,Affy_10343094,Un,1.0
10343095,Affy_10343095,Un,1.0
10343096,Affy_10343096,Un,1.0
10343097,Affy_10343097,Un,1.0
10343098,Affy_10343098,Un,1.0
10343099,Affy_10343099,Un,1.0
10343100,Affy_10343100,Un,1.0
10343101,Affy_10343101,Un,1.0
10343102,Affy_10343102,Un,1.0
10343103,Affy_10343103,Un,1.0
10343104,Affy_10343104,Un,1.0
10343105,Affy_10343105,Un,1.0
10343106,Affy_10343106,Un,1.0
10343107,Affy_10343107,Un,1.0
10343108,Affy_10343108,Un,1.0
10343109,Affy_10343109,Un,1.0
10343110,Affy_10343110,Un,1.0
10343111,Affy_10343111,Un,1.0
10343112,Affy_10343112,Un,1.0
10343113,Affy_10343113,Un,1.0
10343114,Affy_10343114,Un,1.0
10343115,Affy_10343115,Un,1.0
10343116,Affy_10343116,Un,1.0
10343117,Affy_10343117,Un,1.0
10343118,Affy_10343118,Un,1.0
10343119,Ube2g1,11,72.49687
10343120,Affy_10343120,Un,1.0
10343121,Affy_10343121,Un,1.0
10343122,Affy_10343122,Un,1.0
10343123,Affy_10343123,Un,1.0
10343124,Affy_10343124,Un,1.0
10343125,Affy_10343125,Un,1.0
10343126,Affy_10343126,Un,1.0
10343127,Affy_10343127,Un,1.0
10343128,Affy_10343128,Un,1.0
10343129,Affy_10343129,Un,1.0
10343130,Affy_10343130,Un,1.0
10343131,Affy_10343131,Un,1.0
10343132,Affy_10343132,Un,1.0
10343133,Affy_10343133,Un,1.0
10343134,Affy_10343134,Un,1.0
10343135,Pabpn1,14,55.516859
10343136,Affy_10343136,Un,1.0
10343137,Affy_10343137,Un,1.0
10343138,Affy_10343138,Un,1.0
10343139,Affy_10343139,Un,1.0
10343140,Affy_10343140,Un,1.0
10343141,Affy_10343141,Un,1.0
10343142,Affy_10343142,Un,1.0
10343143,Affy_10343143,Un,1.0
10343144,Copa,1,174.035118
10343145,Affy_10343145,Un,1.0
10343146,Affy_10343146,Un,1.0
10343147,Affy_10343147,Un,1.0
10343148,Affy_10343148,Un,1.0
10343149,Affy_10343149,Un,1.0
10343150,Affy_10343150,Un,1.0
10343151,Affy_10343151,Un,1.0
10343152,Affy_10343152,Un,1.0
10343153,Affy_10343153,Un,1.0
10343154,Affy_10343154,Un,1.0
10343155,Affy_10343155,Un,1.0
10343156,Affy_10343156,Un,1.0
10343157,Affy_10343157,Un,1.0
10343158,Affy_10343158,Un,1.0
10343159,Affy_10343159,Un,1.0
10343160,Affy_10343160,Un,1.0
10343161,Affy_10343161,Un,1.0
10343162,Affy_10343162,Un,1.0
10343163,Affy_10343163,Un,1.0
10343164,Affy_10343164,Un,1.0
10343165,Affy_10343165,Un,1.0
10343166,Affy_10343166,Un,1.0
10343167,Affy_10343167,Un,1.0
10343168,Affy_10343168,Un,1.0
10343169,Affy_10343169,Un,1.0
10343170,Affy_10343170,Un,1.0
10343171,Affy_10343171,Un,1.0
10343172,Affy_10343172,Un,1.0
10343173,Affy_10343173,Un,1.0
10343174,Affy_10343174,Un,1.0
10343175,Affy_10343175,Un,1.0
10343176,Affy_10343176,Un,1.0
10343177,Affy_10343177,Un,1.0
10343178,Affy_10343178,Un,1.0
10343179,Affy_10343179,Un,1.0
10343180,Affy_10343180,Un,1.0
10343181,Affy_10343181,Un,1.0
10343182,Affy_10343182,Un,1.0
10343183,Affy_10343183,Un,1.0
10343184,Affy_10343184,Un,1.0
10343185,Affy_10343185,Un,1.0
10343186,Affy_10343186,Un,1.0
10343187,Affy_10343187,Un,1.0
10343188,Affy_10343188,Un,1.0
10343189,Affy_10343189,Un,1.0
10343190,Affy_10343190,Un,1.0
10343191,Affy_10343191,Un,1.0
10343192,Affy_10343192,Un,1.0
10343193,Affy_10343193,Un,1.0
10343194,Affy_10343194,Un,1.0
10343195,Affy_10343195,Un,1.0
10343196,Affy_10343196,Un,1.0
10343197,Affy_10343197,Un,1.0
10343198,Affy_10343198,Un,1.0
10343199,Affy_10343199,Un,1.0
10343200,Affy_10343200,Un,1.0
10343201,Affy_10343201,Un,1.0
10343202,Affy_10343202,Un,1.0
10343203,Affy_10343203,Un,1.0
10343204,Affy_10343204,Un,1.0
10343205,Affy_10343205,Un,1.0
10343206,Affy_10343206,Un,1.0
10343207,Affy_10343207,Un,1.0
10343208,Affy_10343208,Un,1.0
10343209,Affy_10343209,Un,1.0
10343210,Affy_10343210,Un,1.0
10343211,Affy_10343211,Un,1.0
10343212,Affy_10343212,Un,1.0
10343213,Affy_10343213,Un,1.0
10343214,Affy_10343214,Un,1.0
10343215,Affy_10343215,Un,1.0
10343216,Affy_10343216,Un,1.0
10343217,Affy_10343217,Un,1.0
10343218,Affy_10343218,Un,1.0
10343219,Affy_10343219,Un,1.0
10343220,Affy_10343220,Un,1.0
10343221,Affy_10343221,Un,1.0
10343222,Affy_10343222,Un,1.0
10343223,Affy_10343223,Un,1.0
10343224,Affy_10343224,Un,1.0
10343225,Affy_10343225,Un,1.0
10343226,Affy_10343226,Un,1.0
10343227,Affy_10343227,Un,1.0
10343228,Affy_10343228,Un,1.0
10343229,Affy_10343229,Un,1.0
10343230,Affy_10343230,Un,1.0
10343231,Affy_10343231,Un,1.0
10343232,Affy_10343232,Un,1.0
10343233,Affy_10343233,Un,1.0
10343234,Affy_10343234,Un,1.0
10343235,Affy_10343235,Un,1.0
10343236,Affy_10343236,Un,1.0
10343237,Affy_10343237,Un,1.0
10343238,Affy_10343238,Un,1.0
10343239,Affy_10343239,Un,1.0
10343240,Affy_10343240,Un,1.0
10343241,Affy_10343241,Un,1.0
10343242,Affy_10343242,Un,1.0
10343243,Affy_10343243,Un,1.0
10343244,Affy_10343244,Un,1.0
10343245,Affy_10343245,Un,1.0
10343246,Affy_10343246,Un,1.0
10343247,Affy_10343247,Un,1.0
10343248,Affy_10343248,Un,1.0
10343249,Affy_10343249,Un,1.0
10343250,Affy_10343250,Un,1.0
10343251,Hdac5,11,102.067207
10343252,Affy_10343252,Un,1.0
10343253,Affy_10343253,Un,1.0
10343254,Affy_10343254,Un,1.0
10343255,Affy_10343255,Un,1.0
10343256,Affy_10343256,Un,1.0
10343257,Affy_10343257,Un,1.0
10343258,Affy_10343258,Un,1.0
10343259,Affy_10343259,Un,1.0
10343260,Affy_10343260,Un,1.0
10343261,Affy_10343261,Un,1.0
10343262,Affy_10343262,Un,1.0
10343263,Affy_10343263,Un,1.0
10343264,Affy_10343264,Un,1.0
10343265,Affy_10343265,Un,1.0
10343266,Affy_10343266,Un,1.0
10343267,Affy_10343267,Un,1.0
10343268,Affy_10343268,Un,1.0
10343269,Affy_10343269,Un,1.0
10343270,Affy_10343270,4,149.0
10343271,Affy_10343271,Un,1.0
10343272,Affy_10343272,Un,1.0
10343273,Affy_10343273,Un,1.0
10343274,Affy_10343274,Un,1.0
10343275,Affy_10343275,Un,1.0
10343276,Affy_10343276,Un,1.0
10343277,Affy_10343277,Un,1.0
10343278,Affy_10343278,Un,1.0
10343279,Affy_10343279,Un,1.0
10343280,Affy_10343280,Un,1.0
10343281,Affy_10343281,Un,1.0
10343282,Affy_10343282,Un,1.0
10343283,Affy_10343283,Un,1.0
10343284,Affy_10343284,Un,1.0
10343285,Affy_10343285,Un,1.0
10343286,Affy_10343286,Un,1.0
10343287,Affy_10343287,Un,1.0
10343288,Affy_10343288,Un,1.0
10343289,Affy_10343289,Un,1.0
10343290,Affy_10343290,Un,1.0
10343291,Affy_10343291,Un,1.0
10343292,Affy_10343292,Un,1.0
10343293,Affy_10343293,Un,1.0
10343294,Affy_10343294,Un,1.0
10343295,Affy_10343295,Un,1.0
10343296,Affy_10343296,Un,1.0
10343297,Affy_10343297,Un,1.0
10343298,Affy_10343298,Un,1.0
10343299,Affy_10343299,Un,1.0
10343300,Affy_10343300,Un,1.0
10343301,Affy_10343301,Un,1.0
10343302,Affy_10343302,Un,1.0
10343303,Affy_10343303,Un,1.0
10343304,Affy_10343304,Un,1.0
10343305,Affy_10343305,Un,1.0
10343306,Affy_10343306,Un,1.0
10343307,Eif5,12,112.784857
10343308,Affy_10343308,Un,1.0
10343309,Affy_10343309,Un,1.0
10343310,Affy_10343310,Un,1.0
10343311,Affy_10343311,Un,1.0
10343312,Affy_10343312,Un,1.0
10343313,Affy_10343313,Un,1.0
10343314,Affy_10343314,Un,1.0
10343315,Affy_10343315,Un,1.0
10343316,Affy_10343316,Un,1.0
10343317,Affy_10343317,Un,1.0
10343318,Affy_10343318,Un,1.0
10343319,Affy_10343319,Un,1.0
10343320,Affy_10343320,Un,1.0
10343321,Affy_10343321,Un,1.0
10343322,Affy_10343322,Un,1.0
10343323,Affy_10343323,Un,1.0
10343324,Affy_10343324,Un,1.0
10343325,Affy_10343325,Un,1.0
10343326,Affy_10343326,Un,1.0
10343327,Affy_10343327,Un,1.0
10343328,Affy_10343328,Un,1.0
10343329,Affy_10343329,Un,1.0
10343330,Affy_10343330,Un,1.0
10343331,Affy_10343331,Un,1.0
10343332,Affy_10343332,Un,1.0
10343333,Affy_10343333,Un,1.0
10343334,Affy_10343334,Un,1.0
10343335,Affy_10343335,Un,1.0
10343336,Affy_10343336,Un,1.0
10343337,Affy_10343337,Un,1.0
10343338,Affy_10343338,Un,1.0
10343339,Affy_10343339,Un,1.0
10343340,Affy_10343340,Un,1.0
10343341,Affy_10343341,Un,1.0
10343342,Affy_10343342,Un,1.0
10343343,Affy_10343343,Un,1.0
10343344,Affy_10343344,Un,1.0
10343345,Affy_10343345,Un,1.0
10343346,Affy_10343346,Un,1.0
10343347,Affy_10343347,Un,1.0
10343348,Golm1,13,59.742296
10343349,Affy_10343349,Un,1.0
10343350,Affy_10343350,Un,1.0
10343351,Affy_10343351,Un,1.0
10343352,Affy_10343352,Un,1.0
10343353,Affy_10343353,Un,1.0
10343354,Affy_10343354,Un,1.0
10343355,Affy_10343355,Un,1.0
10343356,Affy_10343356,Un,1.0
10343357,Affy_10343357,Un,1.0
10343358,Affy_10343358,Un,1.0
10343359,Affy_10343359,Un,1.0
10343360,Affy_10343360,Un,1.0
10343361,Affy_10343361,Un,1.0
10343362,Affy_10343362,Un,1.0
10343363,Affy_10343363,Un,1.0
10343364,Affy_10343364,Un,1.0
10343365,Affy_10343365,Un,1.0
10343366,Affy_10343366,Un,1.0
10343367,Affy_10343367,Un,1.0
10343368,Affy_10343368,Un,1.0
10343369,Affy_10343369,Un,1.0
10343370,Affy_10343370,Un,1.0
10343371,Affy_10343371,Un,1.0
10343372,Affy_10343372,Un,1.0
10343373,Affy_10343373,Un,1.0
10343374,Affy_10343374,Un,1.0
10343375,Affy_10343375,Un,1.0
10343376,Affy_10343376,Un,1.0
10343377,Affy_10343377,Un,1.0
10343378,Affy_10343378,Un,1.0
10343379,Affy_10343379,Un,1.0
10343380,Affy_10343380,Un,1.0
10343381,Affy_10343381,Un,1.0
10343382,Affy_10343382,Un,1.0
10343383,Affy_10343383,Un,1.0
10343384,Affy_10343384,Un,1.0
10343385,Affy_10343385,Un,1.0
10343386,Affy_10343386,Un,1.0
10343387,Affy_10343387,Un,1.0
10343388,Eif5,4,88.431399
10343389,Affy_10343389,Un,1.0
10343390,Affy_10343390,Un,1.0
10343391,Affy_10343391,Un,1.0
10343392,Affy_10343392,Un,1.0
10343393,Affy_10343393,Un,1.0
10343394,Affy_10343394,Un,1.0
10343395,Affy_10343395,Un,1.0
10343396,Affy_10343396,Un,1.0
10343397,Affy_10343397,Un,1.0
10343398,Affy_10343398,Un,1.0
10343399,Cox18,5,90.651284
10343400,Affy_10343400,Un,1.0
10343401,Affy_10343401,Un,1.0
10343402,Affy_10343402,Un,1.0
10343403,Affy_10343403,Un,1.0
10343404,Affy_10343404,Un,1.0
10343405,Affy_10343405,Un,1.0
10343406,Affy_10343406,Un,1.0
10343407,Affy_10343407,Un,1.0
10343408,Affy_10343408,Un,1.0
10343409,Affy_10343409,Un,1.0
10343410,Rfk,19,17.473117
10343411,Affy_10343411,Un,1.0
10343412,Affy_10343412,Un,1.0
10343413,Affy_10343413,Un,1.0
10343414,Affy_10343414,Un,1.0
10343415,Affy_10343415,Un,1.0
10343416,Affy_10343416,Un,1.0
10343417,Affy_10343417,Un,1.0
10343418,Affy_10343418,Un,1.0
10343419,Affy_10343419,Un,1.0
10343420,Affy_10343420,Un,1.0
10343421,Affy_10343421,Un,1.0
10343422,Affy_10343422,Un,1.0
10343423,Affy_10343423,Un,1.0
10343424,Affy_10343424,Un,1.0
10343425,Affy_10343425,Un,1.0
10343426,Affy_10343426,Un,1.0
10343427,Affy_10343427,Un,1.0
10343428,Affy_10343428,Un,1.0
10343429,Affy_10343429,Un,1.0
10343430,Affy_10343430,Un,1.0
10343431,Affy_10343431,Un,1.0
10343432,Affy_10343432,Un,1.0
10343433,Affy_10343433,Un,1.0
10343434,Affy_10343434,Un,1.0
10343435,Affy_10343435,Un,1.0
10343436,Affy_10343436,Un,1.0
10343437,Affy_10343437,Un,1.0
10343438,Affy_10343438,Un,1.0
10343439,Affy_10343439,Un,1.0
10343440,Rmer20b,4,117.02787
10343441,Affy_10343441,Un,1.0
10343442,Affy_10343442,Un,1.0
10343443,Affy_10343443,Un,1.0
10343444,Affy_10343444,Un,1.0
10343445,Affy_10343445,Un,1.0
10343446,Affy_10343446,Un,1.0
10343447,Affy_10343447,Un,1.0
10343448,Affy_10343448,Un,1.0
10343449,Affy_10343449,Un,1.0
10343450,Affy_10343450,Un,1.0
10343451,Affy_10343451,Un,1.0
10343452,Affy_10343452,Un,1.0
10343453,Affy_10343453,Un,1.0
10343454,Affy_10343454,Un,1.0
10343455,Affy_10343455,Un,1.0
10343456,Affy_10343456,Un,1.0
10343457,Affy_10343457,Un,1.0
10343458,Affy_10343458,Un,1.0
10343459,Affy_10343459,Un,1.0
10343460,Affy_10343460,Un,1.0
10343461,Affy_10343461,Un,1.0
10343462,Affy_10343462,Un,1.0
10343463,Affy_10343463,Un,1.0
10343464,Affy_10343464,Un,1.0
10343465,Affy_10343465,Un,1.0
10343466,Affy_10343466,Un,1.0
10343467,Affy_10343467,Un,1.0
10343468,Affy_10343468,Un,1.0
10343469,Affy_10343469,Un,1.0
10343470,Affy_10343470,Un,1.0
10343471,Affy_10343471,Un,1.0
10343472,Affy_10343472,Un,1.0
10343473,Affy_10343473,Un,1.0
10343474,Affy_10343474,Un,1.0
10343475,Affy_10343475,Un,1.0
10343476,Affy_10343476,Un,1.0
10343477,Affy_10343477,Un,1.0
10343478,Anapc1,2,128.510559
10343479,Affy_10343479,Un,1.0
10343480,Affy_10343480,Un,1.0
10343481,Affy_10343481,Un,1.0
10343482,Affy_10343482,Un,1.0
10343483,Affy_10343483,Un,1.0
10343484,Affy_10343484,Un,1.0
10343485,Affy_10343485,Un,1.0
10343486,Affy_10343486,Un,1.0
10343487,Affy_10343487,Un,1.0
10343488,Affy_10343488,Un,1.0
10343489,Copa,1,174.015743
10343490,Affy_10343490,Un,1.0
10343491,Affy_10343491,Un,1.0
10343492,Affy_10343492,Un,1.0
10343493,Affy_10343493,Un,1.0
10343494,Affy_10343494,Un,1.0
10343495,Affy_10343495,Un,1.0
10343496,Affy_10343496,Un,1.0
10343497,Affy_10343497,Un,1.0
10343498,Affy_10343498,Un,1.0
10343499,Affy_10343499,Un,1.0
10343500,Affy_10343500,Un,1.0
10343501,Affy_10343501,Un,1.0
10343502,Affy_10343502,Un,1.0
10343503,Affy_10343503,Un,1.0
10343504,Affy_10343504,Un,1.0
10343505,Affy_10343505,Un,1.0
10343506,Affy_10343506,Un,1.0
10343507,Affy_10343507,Un,1.0
10343508,Affy_10343508,Un,1.0
10343509,Affy_10343509,Un,1.0
10343510,Affy_10343510,Un,1.0
10343511,Affy_10343511,Un,1.0
10343512,Affy_10343512,Un,1.0
10343513,Affy_10343513,Un,1.0
10343514,Affy_10343514,Un,1.0
10343515,Affy_10343515,Un,1.0
10343516,Affy_10343516,Un,1.0
10343517,Affy_10343517,Un,1.0
10343518,Affy_10343518,Un,1.0
10343519,Affy_10343519,Un,1.0
10343520,Affy_10343520,Un,1.0
10343521,Tmem165,5,76.637548
10343522,Affy_10343522,Un,1.0
10343523,Affy_10343523,Un,1.0
10343524,Affy_10343524,Un,1.0
10343525,Affy_10343525,Un,1.0
10343526,Affy_10343526,Un,1.0
10343527,Affy_10343527,Un,1.0
10343528,Affy_10343528,Un,1.0
10343529,Affy_10343529,Un,1.0
10343530,Affy_10343530,Un,1.0
10343531,Affy_10343531,Un,1.0
10343532,Affy_10343532,Un,1.0
10343533,Affy_10343533,Un,1.0
10343534,Affy_10343534,Un,1.0
10343535,Affy_10343535,Un,1.0
10343536,Affy_10343536,Un,1.0
10343537,Affy_10343537,Un,1.0
10343538,Affy_10343538,Un,1.0
10343539,Affy_10343539,Un,1.0
10343540,Affy_10343540,Un,1.0
10343541,Affy_10343541,Un,1.0
10343542,Affy_10343542,Un,1.0
10343543,Affy_10343543,Un,1.0
10343544,Affy_10343544,Un,1.0
10343545,Affy_10343545,Un,1.0
10343546,Affy_10343546,Un,1.0
10343547,Affy_10343547,Un,1.0
10343548,Affy_10343548,Un,1.0
10343549,Affy_10343549,Un,1.0
10343550,Affy_10343550,Un,1.0
10343551,Affy_10343551,Un,1.0
10343552,Affy_10343552,Un,1.0
10343553,Affy_10343553,Un,1.0
10343554,Affy_10343554,Un,1.0
10343555,Affy_10343555,Un,1.0
10343556,Affy_10343556,Un,1.0
10343557,Affy_10343557,Un,1.0
10343558,Affy_10343558,Un,1.0
10343559,Affy_10343559,Un,1.0
10343560,Affy_10343560,Un,1.0
10343561,Affy_10343561,Un,1.0
10343562,Affy_10343562,Un,1.0
10343563,Affy_10343563,Un,1.0
10343564,Affy_10343564,Un,1.0
10343565,Affy_10343565,Un,1.0
10343566,Affy_10343566,Un,1.0
10343567,Affy_10343567,Un,1.0
10343568,Affy_10343568,Un,1.0
10343569,Affy_10343569,Un,1.0
10343570,Affy_10343570,Un,1.0
10343571,Affy_10343571,Un,1.0
10343572,Affy_10343572,Un,1.0
10343573,Affy_10343573,Un,1.0
10343574,Affy_10343574,Un,1.0
10343575,Affy_10343575,Un,1.0
10343576,Affy_10343576,Un,1.0
10343577,Affy_10343577,Un,1.0
10343578,Affy_10343578,Un,1.0
10343579,Affy_10343579,Un,1.0
10343580,Affy_10343580,Un,1.0
10343581,Affy_10343581,Un,1.0
10343582,Affy_10343582,Un,1.0
10343583,Affy_10343583,Un,1.0
10343584,Affy_10343584,Un,1.0
10343585,Affy_10343585,Un,1.0
10343586,Affy_10343586,Un,1.0
10343587,Affy_10343587,Un,1.0
10343588,Affy_10343588,Un,1.0
10343589,Affy_10343589,Un,1.0
10343590,Anapc2,2,25.13011
10343591,Affy_10343591,Un,1.0
10343592,Affy_10343592,Un,1.0
10343593,Affy_10343593,Un,1.0
10343594,Affy_10343594,Un,1.0
10343595,Affy_10343595,Un,1.0
10343596,Affy_10343596,Un,1.0
10343597,Affy_10343597,Un,1.0
10343598,Affy_10343598,Un,1.0
10343599,Affy_10343599,Un,1.0
10343600,Affy_10343600,Un,1.0
10343601,Affy_10343601,Un,1.0
10343602,Affy_10343602,Un,1.0
10343603,Affy_10343603,Un,1.0
10343604,Affy_10343604,Un,1.0
10343605,Affy_10343605,Un,1.0
10343606,Affy_10343606,Un,1.0
10343607,Affy_10343607,Un,1.0
10343608,Affy_10343608,Un,1.0
10343609,Affy_10343609,Un,1.0
10343610,Affy_10343610,Un,1.0
10343611,Affy_10343611,Un,1.0
10343612,Affy_10343612,Un,1.0
10343613,Affy_10343613,Un,1.0
10343614,Affy_10343614,Un,1.0
10343615,Affy_10343615,Un,1.0
10343616,Affy_10343616,Un,1.0
10343617,Affy_10343617,Un,1.0
10343618,Affy_10343618,Un,1.0
10343619,Affy_10343619,Un,1.0
10343620,Affy_10343620,Un,1.0
10343621,Affy_10343621,Un,1.0
10343622,Affy_10343622,Un,1.0
10343623,Affy_10343623,Un,1.0
10343624,Anapc1,2,128.510681
10343625,Affy_10343625,Un,1.0
10343626,Affy_10343626,Un,1.0
10343627,Affy_10343627,Un,1.0
10343628,Affy_10343628,Un,1.0
10343629,Affy_10343629,Un,1.0
10343630,Affy_10343630,Un,1.0
10343631,Affy_10343631,Un,1.0
10343632,Affy_10343632,Un,1.0
10343633,Affy_10343633,Un,1.0
10343634,Affy_10343634,Un,1.0
10343635,Affy_10343635,Un,1.0
10343636,Affy_10343636,Un,1.0
10343637,Affy_10343637,Un,1.0
10343638,Affy_10343638,Un,1.0
10343639,Affy_10343639,Un,1.0
10343640,Affy_10343640,Un,1.0
10343641,Affy_10343641,Un,1.0
10343642,Affy_10343642,Un,1.0
10343643,Affy_10343643,Un,1.0
10343644,Affy_10343644,Un,1.0
10343645,Affy_10343645,Un,1.0
10343646,Affy_10343646,Un,1.0
10343647,Affy_10343647,Un,1.0
10343648,Affy_10343648,Un,1.0
10343649,Affy_10343649,Un,1.0
10343650,Affy_10343650,Un,1.0
10343651,Affy_10343651,Un,1.0
10343652,Affy_10343652,Un,1.0
10343653,Affy_10343653,Un,1.0
10343654,Affy_10343654,Un,1.0
10343655,Affy_10343655,Un,1.0
10343656,Affy_10343656,Un,1.0
10343657,Affy_10343657,Un,1.0
10343658,Affy_10343658,Un,1.0
10343659,Affy_10343659,Un,1.0
10343660,Affy_10343660,Un,1.0
10343661,Affy_10343661,Un,1.0
